"","Usage","Month","value"
"579","Food_and_beverages_purchased_for_off-premises_consumption","X2010.5",856378
"580","Clothing_and_footwear","X2010.5",328209
"581","Gasoline_and_other_energy_goods","X2010.5",303848
"582","Other_nondurable_goods","X2010.5",896609
"583","Housing_and_utilities","X2010.5",2321601
"584","Health_care","X2010.5",1863352
"585","Transportation_services","X2010.5",332026
"586","Recreation_services","X2010.5",466790
"587","Food_services_and_accommodations","X2010.5",756067
"588","Financial_services_and_insurance","X2010.5",1021688
"589","Motor_vehicles_and_parts","X2010.6",360011
"590","Furnishings_and_durable_household_equipment","X2010.6",207049
"591","Recreational_goods_and_vehicles","X2010.6",211555
"592","Other_durable_goods","X2010.6",150047
"593","Food_and_beverages_purchased_for_off-premises_consumption","X2010.6",856218
"594","Clothing_and_footwear","X2010.6",327470
"595","Gasoline_and_other_energy_goods","X2010.6",303326
"596","Other_nondurable_goods","X2010.6",892686
"597","Housing_and_utilities","X2010.6",2325314
"598","Health_care","X2010.6",1876179
"599","Transportation_services","X2010.6",332257
"600","Recreation_services","X2010.6",471487
"601","Food_services_and_accommodations","X2010.6",758464
"602","Financial_services_and_insurance","X2010.6",1024863
"603","Motor_vehicles_and_parts","X2010.7",364193
"604","Furnishings_and_durable_household_equipment","X2010.7",208268
"605","Recreational_goods_and_vehicles","X2010.7",212186
"606","Other_durable_goods","X2010.7",149245
"607","Food_and_beverages_purchased_for_off-premises_consumption","X2010.7",860750
"608","Clothing_and_footwear","X2010.7",332609
"609","Gasoline_and_other_energy_goods","X2010.7",302555
"610","Other_nondurable_goods","X2010.7",895163
"611","Housing_and_utilities","X2010.7",2326431
"612","Health_care","X2010.7",1883058
"613","Transportation_services","X2010.7",334428
"614","Recreation_services","X2010.7",471590
"615","Food_services_and_accommodations","X2010.7",762384
"616","Financial_services_and_insurance","X2010.7",1025568
"617","Motor_vehicles_and_parts","X2010.8",362715
"618","Furnishings_and_durable_household_equipment","X2010.8",208856
"619","Recreational_goods_and_vehicles","X2010.8",214883
"620","Other_durable_goods","X2010.8",149621
"621","Food_and_beverages_purchased_for_off-premises_consumption","X2010.8",863088
"622","Clothing_and_footwear","X2010.8",332069
"623","Gasoline_and_other_energy_goods","X2010.8",306704
"624","Other_nondurable_goods","X2010.8",899167
"625","Housing_and_utilities","X2010.8",2318323
"626","Health_care","X2010.8",1884736
"627","Transportation_services","X2010.8",338200
"628","Recreation_services","X2010.8",471633
"629","Food_services_and_accommodations","X2010.8",761332
"630","Financial_services_and_insurance","X2010.8",1030900
"631","Motor_vehicles_and_parts","X2010.9",381873
"632","Furnishings_and_durable_household_equipment","X2010.9",208871
"633","Recreational_goods_and_vehicles","X2010.9",216297
"634","Other_durable_goods","X2010.9",153409
"635","Food_and_beverages_purchased_for_off-premises_consumption","X2010.9",862019
"636","Clothing_and_footwear","X2010.9",335281
"637","Gasoline_and_other_energy_goods","X2010.9",303123
"638","Other_nondurable_goods","X2010.9",900742
"639","Housing_and_utilities","X2010.9",2318751
"640","Health_care","X2010.9",1882604
"641","Transportation_services","X2010.9",341158
"642","Recreation_services","X2010.9",473087
"643","Food_services_and_accommodations","X2010.9",763938
"644","Financial_services_and_insurance","X2010.9",1031294
"645","Motor_vehicles_and_parts","X2010.10",375679
"646","Furnishings_and_durable_household_equipment","X2010.10",212732
"647","Recreational_goods_and_vehicles","X2010.10",217005
"648","Other_durable_goods","X2010.10",152690
"649","Food_and_beverages_purchased_for_off-premises_consumption","X2010.10",869823
"650","Clothing_and_footwear","X2010.10",342755
"651","Gasoline_and_other_energy_goods","X2010.10",300524
"652","Other_nondurable_goods","X2010.10",903153
"653","Housing_and_utilities","X2010.10",2330722
"654","Health_care","X2010.10",1883029
"655","Transportation_services","X2010.10",339946
"656","Recreation_services","X2010.10",471534
"657","Food_services_and_accommodations","X2010.10",766194
"658","Financial_services_and_insurance","X2010.10",1038730
"659","Motor_vehicles_and_parts","X2010.11",379324
"660","Furnishings_and_durable_household_equipment","X2010.11",212906
"661","Recreational_goods_and_vehicles","X2010.11",219331
"662","Other_durable_goods","X2010.11",150325
"663","Food_and_beverages_purchased_for_off-premises_consumption","X2010.11",867223
"664","Clothing_and_footwear","X2010.11",339404
"665","Gasoline_and_other_energy_goods","X2010.11",304485
"666","Other_nondurable_goods","X2010.11",898605
"667","Housing_and_utilities","X2010.11",2348202
"668","Health_care","X2010.11",1886994
"669","Transportation_services","X2010.11",339940
"670","Recreation_services","X2010.11",465086
"671","Food_services_and_accommodations","X2010.11",760310
"672","Financial_services_and_insurance","X2010.11",1044898
"673","Motor_vehicles_and_parts","X2011",378069
"674","Furnishings_and_durable_household_equipment","X2011",211182
"675","Recreational_goods_and_vehicles","X2011",222711
"676","Other_durable_goods","X2011",152756
"677","Food_and_beverages_purchased_for_off-premises_consumption","X2011",868989
"678","Clothing_and_footwear","X2011",339959
"679","Gasoline_and_other_energy_goods","X2011",299422
"680","Other_nondurable_goods","X2011",913827
"681","Housing_and_utilities","X2011",2331680
"682","Health_care","X2011",1889941
"683","Transportation_services","X2011",339419
"684","Recreation_services","X2011",462227
"685","Food_services_and_accommodations","X2011",760322
"686","Financial_services_and_insurance","X2011",1042006
"687","Motor_vehicles_and_parts","X2011.1",372767
"688","Furnishings_and_durable_household_equipment","X2011.1",212602
"689","Recreational_goods_and_vehicles","X2011.1",223465
"690","Other_durable_goods","X2011.1",152724
"691","Food_and_beverages_purchased_for_off-premises_consumption","X2011.1",868348
"692","Clothing_and_footwear","X2011.1",342565
"693","Gasoline_and_other_energy_goods","X2011.1",298041
"694","Other_nondurable_goods","X2011.1",907000
"695","Housing_and_utilities","X2011.1",2311998
"696","Health_care","X2011.1",1891121
"697","Transportation_services","X2011.1",340264
"698","Recreation_services","X2011.1",463466
"699","Food_services_and_accommodations","X2011.1",773608
"700","Financial_services_and_insurance","X2011.1",1048606
"701","Motor_vehicles_and_parts","X2011.2",377369
"702","Furnishings_and_durable_household_equipment","X2011.2",216900
"703","Recreational_goods_and_vehicles","X2011.2",225046
"704","Other_durable_goods","X2011.2",154340
"705","Food_and_beverages_purchased_for_off-premises_consumption","X2011.2",862398
"706","Clothing_and_footwear","X2011.2",344232
"707","Gasoline_and_other_energy_goods","X2011.2",299117
"708","Other_nondurable_goods","X2011.2",912029
"709","Housing_and_utilities","X2011.2",2322744
"710","Health_care","X2011.2",1891457
"711","Transportation_services","X2011.2",343278
"712","Recreation_services","X2011.2",465221
"713","Food_services_and_accommodations","X2011.2",775419
"714","Financial_services_and_insurance","X2011.2",1049007
"715","Motor_vehicles_and_parts","X2011.3",366914
"716","Furnishings_and_durable_household_equipment","X2011.3",216134
"717","Recreational_goods_and_vehicles","X2011.3",227032
"718","Other_durable_goods","X2011.3",155842
"719","Food_and_beverages_purchased_for_off-premises_consumption","X2011.3",869241
"720","Clothing_and_footwear","X2011.3",345482
"721","Gasoline_and_other_energy_goods","X2011.3",294611
"722","Other_nondurable_goods","X2011.3",910421
"723","Housing_and_utilities","X2011.3",2316043
"724","Health_care","X2011.3",1892565
"725","Transportation_services","X2011.3",347111
"726","Recreation_services","X2011.3",465520
"727","Food_services_and_accommodations","X2011.3",771443
"728","Financial_services_and_insurance","X2011.3",1047352
"729","Motor_vehicles_and_parts","X2011.4",359093
"730","Furnishings_and_durable_household_equipment","X2011.4",213999
"731","Recreational_goods_and_vehicles","X2011.4",228223
"732","Other_durable_goods","X2011.4",153970
"733","Food_and_beverages_purchased_for_off-premises_consumption","X2011.4",859875
"734","Clothing_and_footwear","X2011.4",342463
"735","Gasoline_and_other_energy_goods","X2011.4",291010
"736","Other_nondurable_goods","X2011.4",908687
"737","Housing_and_utilities","X2011.4",2324166
"738","Health_care","X2011.4",1893825
"739","Transportation_services","X2011.4",350873
"740","Recreation_services","X2011.4",465845
"741","Food_services_and_accommodations","X2011.4",777640
"742","Financial_services_and_insurance","X2011.4",1047138
"743","Motor_vehicles_and_parts","X2011.5",348756
"744","Furnishings_and_durable_household_equipment","X2011.5",214528
"745","Recreational_goods_and_vehicles","X2011.5",230430
"746","Other_durable_goods","X2011.5",154668
"747","Food_and_beverages_purchased_for_off-premises_consumption","X2011.5",865377
"748","Clothing_and_footwear","X2011.5",345360
"749","Gasoline_and_other_energy_goods","X2011.5",295925
"750","Other_nondurable_goods","X2011.5",917951
"751","Housing_and_utilities","X2011.5",2323541
"752","Health_care","X2011.5",1890065
"753","Transportation_services","X2011.5",352390
"754","Recreation_services","X2011.5",468948
"755","Food_services_and_accommodations","X2011.5",777685
"756","Financial_services_and_insurance","X2011.5",1048604
"757","Motor_vehicles_and_parts","X2011.6",355470
"758","Furnishings_and_durable_household_equipment","X2011.6",214904
"759","Recreational_goods_and_vehicles","X2011.6",231726
"760","Other_durable_goods","X2011.6",155386
"761","Food_and_beverages_purchased_for_off-premises_consumption","X2011.6",863816
"762","Clothing_and_footwear","X2011.6",340627
"763","Gasoline_and_other_energy_goods","X2011.6",294870
"764","Other_nondurable_goods","X2011.6",910772
"765","Housing_and_utilities","X2011.6",2339817
"766","Health_care","X2011.6",1886753
"767","Transportation_services","X2011.6",355179
"768","Recreation_services","X2011.6",469833
"769","Food_services_and_accommodations","X2011.6",776250
"770","Financial_services_and_insurance","X2011.6",1055527
"771","Motor_vehicles_and_parts","X2011.7",351159
"772","Furnishings_and_durable_household_equipment","X2011.7",214682
"773","Recreational_goods_and_vehicles","X2011.7",234342
"774","Other_durable_goods","X2011.7",157086
"775","Food_and_beverages_purchased_for_off-premises_consumption","X2011.7",862557
"776","Clothing_and_footwear","X2011.7",335365
"777","Gasoline_and_other_energy_goods","X2011.7",292828
"778","Other_nondurable_goods","X2011.7",913516
"779","Housing_and_utilities","X2011.7",2329299
"780","Health_care","X2011.7",1883969
"781","Transportation_services","X2011.7",353469
"782","Recreation_services","X2011.7",467335
"783","Food_services_and_accommodations","X2011.7",778709
"784","Financial_services_and_insurance","X2011.7",1072973
"785","Motor_vehicles_and_parts","X2011.8",370436
"786","Furnishings_and_durable_household_equipment","X2011.8",217160
"787","Recreational_goods_and_vehicles","X2011.8",232719
"788","Other_durable_goods","X2011.8",157888
"789","Food_and_beverages_purchased_for_off-premises_consumption","X2011.8",858116
"790","Clothing_and_footwear","X2011.8",342708
"791","Gasoline_and_other_energy_goods","X2011.8",295652
"792","Other_nondurable_goods","X2011.8",908630
"793","Housing_and_utilities","X2011.8",2323175
"794","Health_care","X2011.8",1887060
"795","Transportation_services","X2011.8",357015
"796","Recreation_services","X2011.8",468331
"797","Food_services_and_accommodations","X2011.8",784536
"798","Financial_services_and_insurance","X2011.8",1058007
"799","Motor_vehicles_and_parts","X2011.9",376045
"800","Furnishings_and_durable_household_equipment","X2011.9",217268
"801","Recreational_goods_and_vehicles","X2011.9",240291
"802","Other_durable_goods","X2011.9",155408
"803","Food_and_beverages_purchased_for_off-premises_consumption","X2011.9",861130
"804","Clothing_and_footwear","X2011.9",340581
"805","Gasoline_and_other_energy_goods","X2011.9",293192
"806","Other_nondurable_goods","X2011.9",912952
"807","Housing_and_utilities","X2011.9",2330768
"808","Health_care","X2011.9",1895511
"809","Transportation_services","X2011.9",355263
"810","Recreation_services","X2011.9",463667
"811","Food_services_and_accommodations","X2011.9",784822
"812","Financial_services_and_insurance","X2011.9",1059135
"813","Motor_vehicles_and_parts","X2011.10",373713
"814","Furnishings_and_durable_household_equipment","X2011.10",218966
"815","Recreational_goods_and_vehicles","X2011.10",237028
"816","Other_durable_goods","X2011.10",154803
"817","Food_and_beverages_purchased_for_off-premises_consumption","X2011.10",863116
"818","Clothing_and_footwear","X2011.10",340826
"819","Gasoline_and_other_energy_goods","X2011.10",292147
"820","Other_nondurable_goods","X2011.10",911569
"821","Housing_and_utilities","X2011.10",2318596
"822","Health_care","X2011.10",1904061
"823","Transportation_services","X2011.10",355973
"824","Recreation_services","X2011.10",463245
"825","Food_services_and_accommodations","X2011.10",784107
"826","Financial_services_and_insurance","X2011.10",1052991
"827","Motor_vehicles_and_parts","X2011.11",380502
"828","Furnishings_and_durable_household_equipment","X2011.11",220220
"829","Recreational_goods_and_vehicles","X2011.11",236267
"830","Other_durable_goods","X2011.11",155450
"831","Food_and_beverages_purchased_for_off-premises_consumption","X2011.11",856767
"832","Clothing_and_footwear","X2011.11",341540
"833","Gasoline_and_other_energy_goods","X2011.11",293670
"834","Other_nondurable_goods","X2011.11",912167
"835","Housing_and_utilities","X2011.11",2314155
"836","Health_care","X2011.11",1910969
"837","Transportation_services","X2011.11",353814
"838","Recreation_services","X2011.11",460703
"839","Food_services_and_accommodations","X2011.11",777675
"840","Financial_services_and_insurance","X2011.11",1057074
"841","Motor_vehicles_and_parts","X2012",385746
"842","Furnishings_and_durable_household_equipment","X2012",221960
"843","Recreational_goods_and_vehicles","X2012",239851
"844","Other_durable_goods","X2012",157497
"845","Food_and_beverages_purchased_for_off-premises_consumption","X2012",863616
"846","Clothing_and_footwear","X2012",341440
"847","Gasoline_and_other_energy_goods","X2012",290446
"848","Other_nondurable_goods","X2012",922732
"849","Housing_and_utilities","X2012",2298497
"850","Health_care","X2012",1924409
"851","Transportation_services","X2012",350501
"852","Recreation_services","X2012",466612
"853","Food_services_and_accommodations","X2012",787974
"854","Financial_services_and_insurance","X2012",1057758
"855","Motor_vehicles_and_parts","X2012.1",396327
"856","Furnishings_and_durable_household_equipment","X2012.1",222010
"857","Recreational_goods_and_vehicles","X2012.1",242619
"858","Other_durable_goods","X2012.1",159782
"859","Food_and_beverages_purchased_for_off-premises_consumption","X2012.1",865497
"860","Clothing_and_footwear","X2012.1",348305
"861","Gasoline_and_other_energy_goods","X2012.1",294179
"862","Other_nondurable_goods","X2012.1",926886
"863","Housing_and_utilities","X2012.1",2308579
"864","Health_care","X2012.1",1931158
"865","Transportation_services","X2012.1",349104
"866","Recreation_services","X2012.1",470000
"867","Food_services_and_accommodations","X2012.1",787939
"868","Financial_services_and_insurance","X2012.1",1063701
"869","Motor_vehicles_and_parts","X2012.2",385387
"870","Furnishings_and_durable_household_equipment","X2012.2",223115
"871","Recreational_goods_and_vehicles","X2012.2",247604
"872","Other_durable_goods","X2012.2",158115
"873","Food_and_beverages_purchased_for_off-premises_consumption","X2012.2",868801
"874","Clothing_and_footwear","X2012.2",345862
"875","Gasoline_and_other_energy_goods","X2012.2",288623
"876","Other_nondurable_goods","X2012.2",922162
"877","Housing_and_utilities","X2012.2",2294360
"878","Health_care","X2012.2",1933858
"879","Transportation_services","X2012.2",352745
"880","Recreation_services","X2012.2",470338
"881","Food_services_and_accommodations","X2012.2",790071
"882","Financial_services_and_insurance","X2012.2",1060873
"883","Motor_vehicles_and_parts","X2012.3",394678
"884","Furnishings_and_durable_household_equipment","X2012.3",219616
"885","Recreational_goods_and_vehicles","X2012.3",245000
"886","Other_durable_goods","X2012.3",158360
"887","Food_and_beverages_purchased_for_off-premises_consumption","X2012.3",870662
"888","Clothing_and_footwear","X2012.3",337906
"889","Gasoline_and_other_energy_goods","X2012.3",290102
"890","Other_nondurable_goods","X2012.3",924319
"891","Housing_and_utilities","X2012.3",2319459
"892","Health_care","X2012.3",1927217
"893","Transportation_services","X2012.3",356919
"894","Recreation_services","X2012.3",472437
"895","Food_services_and_accommodations","X2012.3",795425
"896","Financial_services_and_insurance","X2012.3",1046420
"897","Motor_vehicles_and_parts","X2012.4",385863
"898","Furnishings_and_durable_household_equipment","X2012.4",221073
"899","Recreational_goods_and_vehicles","X2012.4",246499
"900","Other_durable_goods","X2012.4",160153
"901","Food_and_beverages_purchased_for_off-premises_consumption","X2012.4",871856
"902","Clothing_and_footwear","X2012.4",337981
"903","Gasoline_and_other_energy_goods","X2012.4",295707
"904","Other_nondurable_goods","X2012.4",921653
"905","Housing_and_utilities","X2012.4",2323365
"906","Health_care","X2012.4",1922120
"907","Transportation_services","X2012.4",359901
"908","Recreation_services","X2012.4",476031
"909","Food_services_and_accommodations","X2012.4",791163
"910","Financial_services_and_insurance","X2012.4",1039745
"911","Motor_vehicles_and_parts","X2012.5",385150
"912","Furnishings_and_durable_household_equipment","X2012.5",219834
"913","Recreational_goods_and_vehicles","X2012.5",248141
"914","Other_durable_goods","X2012.5",160174
"915","Food_and_beverages_purchased_for_off-premises_consumption","X2012.5",870328
"916","Clothing_and_footwear","X2012.5",341051
"917","Gasoline_and_other_energy_goods","X2012.5",293926
"918","Other_nondurable_goods","X2012.5",911610
"919","Housing_and_utilities","X2012.5",2321419
"920","Health_care","X2012.5",1921664
"921","Transportation_services","X2012.5",360184
"922","Recreation_services","X2012.5",479987
"923","Food_services_and_accommodations","X2012.5",792550
"924","Financial_services_and_insurance","X2012.5",1036976
"925","Motor_vehicles_and_parts","X2012.6",385356
"926","Furnishings_and_durable_household_equipment","X2012.6",220094
"927","Recreational_goods_and_vehicles","X2012.6",250165
"928","Other_durable_goods","X2012.6",163283
"929","Food_and_beverages_purchased_for_off-premises_consumption","X2012.6",872826
"930","Clothing_and_footwear","X2012.6",341870
"931","Gasoline_and_other_energy_goods","X2012.6",287841
"932","Other_nondurable_goods","X2012.6",919434
"933","Housing_and_utilities","X2012.6",2343219
"934","Health_care","X2012.6",1921349
"935","Transportation_services","X2012.6",358799
"936","Recreation_services","X2012.6",480673
"937","Food_services_and_accommodations","X2012.6",795652
"938","Financial_services_and_insurance","X2012.6",1033506
"939","Motor_vehicles_and_parts","X2012.7",389553
"940","Furnishings_and_durable_household_equipment","X2012.7",220497
"941","Recreational_goods_and_vehicles","X2012.7",252513
"942","Other_durable_goods","X2012.7",161800
"943","Food_and_beverages_purchased_for_off-premises_consumption","X2012.7",870195
"944","Clothing_and_footwear","X2012.7",345669
"945","Gasoline_and_other_energy_goods","X2012.7",298967
"946","Other_nondurable_goods","X2012.7",913816
"947","Housing_and_utilities","X2012.7",2323452
"948","Health_care","X2012.7",1923557
"949","Transportation_services","X2012.7",358835
"950","Recreation_services","X2012.7",474722
"951","Food_services_and_accommodations","X2012.7",795239
"952","Financial_services_and_insurance","X2012.7",1033592
"953","Motor_vehicles_and_parts","X2012.8",401047
"954","Furnishings_and_durable_household_equipment","X2012.8",222270
"955","Recreational_goods_and_vehicles","X2012.8",253049
"956","Other_durable_goods","X2012.8",163355
"957","Food_and_beverages_purchased_for_off-premises_consumption","X2012.8",872984
"958","Clothing_and_footwear","X2012.8",344791
"959","Gasoline_and_other_energy_goods","X2012.8",287468
"960","Other_nondurable_goods","X2012.8",916973
"961","Housing_and_utilities","X2012.8",2323341
"962","Health_care","X2012.8",1926783
"963","Transportation_services","X2012.8",358167
"964","Recreation_services","X2012.8",479391
"965","Food_services_and_accommodations","X2012.8",798904
"966","Financial_services_and_insurance","X2012.8",1032259
"967","Motor_vehicles_and_parts","X2012.9",396369
"968","Furnishings_and_durable_household_equipment","X2012.9",220030
"969","Recreational_goods_and_vehicles","X2012.9",253427
"970","Other_durable_goods","X2012.9",160782
"971","Food_and_beverages_purchased_for_off-premises_consumption","X2012.9",875778
"972","Clothing_and_footwear","X2012.9",340145
"973","Gasoline_and_other_energy_goods","X2012.9",291601
"974","Other_nondurable_goods","X2012.9",913087
"975","Housing_and_utilities","X2012.9",2326625
"976","Health_care","X2012.9",1932758
"977","Transportation_services","X2012.9",357248
"978","Recreation_services","X2012.9",482758
"979","Food_services_and_accommodations","X2012.9",797121
"980","Financial_services_and_insurance","X2012.9",1023086
"981","Motor_vehicles_and_parts","X2012.10",412584
"982","Furnishings_and_durable_household_equipment","X2012.10",223762
"983","Recreational_goods_and_vehicles","X2012.10",257274
"984","Other_durable_goods","X2012.10",163492
"985","Food_and_beverages_purchased_for_off-premises_consumption","X2012.10",873518
"986","Clothing_and_footwear","X2012.10",341706
"987","Gasoline_and_other_energy_goods","X2012.10",289695
"988","Other_nondurable_goods","X2012.10",922659
"989","Housing_and_utilities","X2012.10",2325708
"990","Health_care","X2012.10",1935182
"991","Transportation_services","X2012.10",359253
"992","Recreation_services","X2012.10",484371
"993","Food_services_and_accommodations","X2012.10",803973
"994","Financial_services_and_insurance","X2012.10",1024991
"995","Motor_vehicles_and_parts","X2012.11",407612
"996","Furnishings_and_durable_household_equipment","X2012.11",228062
"997","Recreational_goods_and_vehicles","X2012.11",261846
"998","Other_durable_goods","X2012.11",169130
"999","Food_and_beverages_purchased_for_off-premises_consumption","X2012.11",872686
"1000","Clothing_and_footwear","X2012.11",342229
"1001","Gasoline_and_other_energy_goods","X2012.11",283691
"1002","Other_nondurable_goods","X2012.11",931527
"1003","Housing_and_utilities","X2012.11",2317205
"1004","Health_care","X2012.11",1931264
"1005","Transportation_services","X2012.11",361238
"1006","Recreation_services","X2012.11",486051
"1007","Food_services_and_accommodations","X2012.11",808178
"1008","Financial_services_and_insurance","X2012.11",1029099
"1009","Motor_vehicles_and_parts","X2013",415704
"1010","Furnishings_and_durable_household_equipment","X2013",228520
"1011","Recreational_goods_and_vehicles","X2013",267601
"1012","Other_durable_goods","X2013",166840
"1013","Food_and_beverages_purchased_for_off-premises_consumption","X2013",875257
"1014","Clothing_and_footwear","X2013",348384
"1015","Gasoline_and_other_energy_goods","X2013",297990
"1016","Other_nondurable_goods","X2013",944818
"1017","Housing_and_utilities","X2013",2327989
"1018","Health_care","X2013",1925034
"1019","Transportation_services","X2013",364061
"1020","Recreation_services","X2013",485234
"1021","Food_services_and_accommodations","X2013",814563
"1022","Financial_services_and_insurance","X2013",1033597
"1023","Motor_vehicles_and_parts","X2013.1",417858
"1024","Furnishings_and_durable_household_equipment","X2013.1",228253
"1025","Recreational_goods_and_vehicles","X2013.1",268267
"1026","Other_durable_goods","X2013.1",166317
"1027","Food_and_beverages_purchased_for_off-premises_consumption","X2013.1",883559
"1028","Clothing_and_footwear","X2013.1",343540
"1029","Gasoline_and_other_energy_goods","X2013.1",291167
"1030","Other_nondurable_goods","X2013.1",943427
"1031","Housing_and_utilities","X2013.1",2342543
"1032","Health_care","X2013.1",1922620
"1033","Transportation_services","X2013.1",365017
"1034","Recreation_services","X2013.1",487658
"1035","Food_services_and_accommodations","X2013.1",809739
"1036","Financial_services_and_insurance","X2013.1",1037882
"1037","Motor_vehicles_and_parts","X2013.2",410487
"1038","Furnishings_and_durable_household_equipment","X2013.2",230114
"1039","Recreational_goods_and_vehicles","X2013.2",266889
"1040","Other_durable_goods","X2013.2",165357
"1041","Food_and_beverages_purchased_for_off-premises_consumption","X2013.2",879756
"1042","Clothing_and_footwear","X2013.2",346760
"1043","Gasoline_and_other_energy_goods","X2013.2",295444
"1044","Other_nondurable_goods","X2013.2",935496
"1045","Housing_and_utilities","X2013.2",2368842
"1046","Health_care","X2013.2",1925585
"1047","Transportation_services","X2013.2",365350
"1048","Recreation_services","X2013.2",484916
"1049","Food_services_and_accommodations","X2013.2",810624
"1050","Financial_services_and_insurance","X2013.2",1040252
"1051","Motor_vehicles_and_parts","X2013.3",415742
"1052","Furnishings_and_durable_household_equipment","X2013.3",230556
"1053","Recreational_goods_and_vehicles","X2013.3",267364
"1054","Other_durable_goods","X2013.3",164835
"1055","Food_and_beverages_purchased_for_off-premises_consumption","X2013.3",874918
"1056","Clothing_and_footwear","X2013.3",347642
"1057","Gasoline_and_other_energy_goods","X2013.3",298161
"1058","Other_nondurable_goods","X2013.3",929029
"1059","Housing_and_utilities","X2013.3",2349422
"1060","Health_care","X2013.3",1939785
"1061","Transportation_services","X2013.3",370930
"1062","Recreation_services","X2013.3",482848
"1063","Food_services_and_accommodations","X2013.3",802475
"1064","Financial_services_and_insurance","X2013.3",1037268
"1065","Motor_vehicles_and_parts","X2013.4",418452
"1066","Furnishings_and_durable_household_equipment","X2013.4",231673
"1067","Recreational_goods_and_vehicles","X2013.4",269962
"1068","Other_durable_goods","X2013.4",164367
"1069","Food_and_beverages_purchased_for_off-premises_consumption","X2013.4",883805
"1070","Clothing_and_footwear","X2013.4",348575
"1071","Gasoline_and_other_energy_goods","X2013.4",299669
"1072","Other_nondurable_goods","X2013.4",939510
"1073","Housing_and_utilities","X2013.4",2341229
"1074","Health_care","X2013.4",1942017
"1075","Transportation_services","X2013.4",372310
"1076","Recreation_services","X2013.4",485810
"1077","Food_services_and_accommodations","X2013.4",802712
"1078","Financial_services_and_insurance","X2013.4",1036895
"1079","Motor_vehicles_and_parts","X2013.5",415758
"1080","Furnishings_and_durable_household_equipment","X2013.5",233748
"1081","Recreational_goods_and_vehicles","X2013.5",271580
"1082","Other_durable_goods","X2013.5",163605
"1083","Food_and_beverages_purchased_for_off-premises_consumption","X2013.5",882528
"1084","Clothing_and_footwear","X2013.5",348303
"1085","Gasoline_and_other_energy_goods","X2013.5",297446
"1086","Other_nondurable_goods","X2013.5",937456
"1087","Housing_and_utilities","X2013.5",2338625
"1088","Health_care","X2013.5",1942861
"1089","Transportation_services","X2013.5",375042
"1090","Recreation_services","X2013.5",484529
"1091","Food_services_and_accommodations","X2013.5",801648
"1092","Financial_services_and_insurance","X2013.5",1039073
"1093","Motor_vehicles_and_parts","X2013.6",418381
"1094","Furnishings_and_durable_household_equipment","X2013.6",236223
"1095","Recreational_goods_and_vehicles","X2013.6",272307
"1096","Other_durable_goods","X2013.6",164041
"1097","Food_and_beverages_purchased_for_off-premises_consumption","X2013.6",887834
"1098","Clothing_and_footwear","X2013.6",349372
"1099","Gasoline_and_other_energy_goods","X2013.6",299380
"1100","Other_nondurable_goods","X2013.6",944320
"1101","Housing_and_utilities","X2013.6",2328548
"1102","Health_care","X2013.6",1941627
"1103","Transportation_services","X2013.6",375646
"1104","Recreation_services","X2013.6",489309
"1105","Food_services_and_accommodations","X2013.6",804004
"1106","Financial_services_and_insurance","X2013.6",1031717
"1107","Motor_vehicles_and_parts","X2013.7",413035
"1108","Furnishings_and_durable_household_equipment","X2013.7",237580
"1109","Recreational_goods_and_vehicles","X2013.7",276407
"1110","Other_durable_goods","X2013.7",164462
"1111","Food_and_beverages_purchased_for_off-premises_consumption","X2013.7",888623
"1112","Clothing_and_footwear","X2013.7",346801
"1113","Gasoline_and_other_energy_goods","X2013.7",297899
"1114","Other_nondurable_goods","X2013.7",940274
"1115","Housing_and_utilities","X2013.7",2332482
"1116","Health_care","X2013.7",1947353
"1117","Transportation_services","X2013.7",378638
"1118","Recreation_services","X2013.7",493426
"1119","Food_services_and_accommodations","X2013.7",805534
"1120","Financial_services_and_insurance","X2013.7",1030006
"1121","Motor_vehicles_and_parts","X2013.8",412247
"1122","Furnishings_and_durable_household_equipment","X2013.8",238836
"1123","Recreational_goods_and_vehicles","X2013.8",275825
"1124","Other_durable_goods","X2013.8",165772
"1125","Food_and_beverages_purchased_for_off-premises_consumption","X2013.8",893092
"1126","Clothing_and_footwear","X2013.8",347467
"1127","Gasoline_and_other_energy_goods","X2013.8",300617
"1128","Other_nondurable_goods","X2013.8",950343
"1129","Housing_and_utilities","X2013.8",2339734
"1130","Health_care","X2013.8",1954349
"1131","Transportation_services","X2013.8",377295
"1132","Recreation_services","X2013.8",488781
"1133","Food_services_and_accommodations","X2013.8",807181
"1134","Financial_services_and_insurance","X2013.8",1035444
"1135","Motor_vehicles_and_parts","X2013.9",411491
"1136","Furnishings_and_durable_household_equipment","X2013.9",238735
"1137","Recreational_goods_and_vehicles","X2013.9",277083
"1138","Other_durable_goods","X2013.9",169722
"1139","Food_and_beverages_purchased_for_off-premises_consumption","X2013.9",893003
"1140","Clothing_and_footwear","X2013.9",353432
"1141","Gasoline_and_other_energy_goods","X2013.9",300513
"1142","Other_nondurable_goods","X2013.9",951165
"1143","Housing_and_utilities","X2013.9",2342980
"1144","Health_care","X2013.9",1965605
"1145","Transportation_services","X2013.9",375613
"1146","Recreation_services","X2013.9",488707
"1147","Food_services_and_accommodations","X2013.9",815966
"1148","Financial_services_and_insurance","X2013.9",1037854
"1149","Motor_vehicles_and_parts","X2013.10",419577
